text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
not to mention the thousands of people online who say they?ve stacked on the weight due to taking seroquel.,@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.,@anwen @ellwynnnnn venlafaxine withdrawal is worse than most by miles x,stacked on the weight,weight gain,weight,weight gain,withdrawal,withdrawal symptom
"ok for 4 years, then muscle cramps, spasms, weakness in legs and right hand progressed to atrophy.",arachnitis,"did reduce cholesterol but after 18 months suddenly developed muscle cramps and tendon pain everywhere - feet, knees, shins, thigh,hips, upper arms, shoulders, elbows, wrists, hands, tightened muscles in neck which aggravted spinal disc sysmptoms in areas where i have had problems in the past.",dry mouth,arachnitis,dry mouth,arachnitis,acute pain,acute pain
extremely severe pain in right shoulder as if from extreme workout or injury(none which apply).,have been on lipitor over 5 yrs.,muscle pain in left arm and upper back.,severe pain in shoulder,shoulder pain,shoulder pain,shoulder pain,muscle pain in left arm,myalgia
"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst.",furuncle,"muscle weakness in arms and legs, blurry eyesight, hair loss, but worst of all, burning feet and painful heels.",my skin in boils,furuncle,my skin in boils,furuncle,painful heels,pain in heel
@aravain i've heard of all kinds of skin issues on lamictal! pretty sure mine is psychosomatic though...,skin disorder,"memory lapses, hip pains, skin itching sensations all over body,hair loss, depression and anxiety.",skin issues,skin disorder,skin issues,skin disorder,memory lapses,memory impairment
pain!!!!!,"general fatigue, aches and pains for years.",muscle pain.,sever arthritic condition,arthritis,severe swolen/inflamation of the fingers/hands,arthritis,severe joint pain in the shoulders,pain
"after 4 uneventful years on lipitor, i started having intense shoulder and upper arm pain.",extremely severe pain in right shoulder as if from extreme workout or injury(none which apply).,after taking lipitor for a number of years my muscles and joints in my legs and shoulders gradually became very painful.,intense shoulder and upper arm pain,shoulder pain,severe pain in shoulder,shoulder pain,painful joints,arthralgia
"i am amazed to find all the people who have experienced hip/knee/ankle pain, and back pain, after taking lipitor.",joint pain in the knees and hips.,"after taking lipitor for 5 years: pain in the knees and feet, neck and shoulders, abdominal pain and elbow pain.",knee pain,knee pain,joint pain in the knees,knee pain,elbow pain,pain in elbow
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.","i took the drug only once, at about 9:00 p.m.",i had extreme abdominal pain that came on almost instantly and lasted hours from taking the arthrotec for the first time.,acidic bile at the back of my throat,acid reflux (oesophageal),acid reflux-type symptoms,acid reflux (oesophageal),threw up,vomiting
"could not get to sleep, then slept for 3 to 4 hours and was not rested.","headache, gas, bloating, mood swings, ill feeling, paranoid, anxious.","after taking just one dose, had hunger feeling and stomach cramping, in the eve and through the night constant muscle cramps in my calf muscles, couldn't sleep, had to keep jumping out of bed because of the cramps.",i didn't feel right,malaise,ill feeling,malaise,stomach cramping,learning disorder
levaquin sucks. blinding headaches. vomiting. diarrhea.   time for my next dose.  happy weekend.   #tmi #fml,"in last 6 month, calf of left leg began to burn nothing will stop it.",severe headaches.,headaches,headache,headaches,headache,memory loss,amnesia
"i started to take 20 mg lipitor in august 2006, after 6 months, i reduced to take 10 mg, and after another 6 months, i reduced the lipitor intake to 5 mg.",i started lipitor more than two years ago.,i started taking lipitor in december 2009 and stopped after 4 months.,joint pain,arthralgia,joint pain,arthralgia,extreme pain in neck,neck pain
"heartburn, nausea, frequent feelings of voracious hunger & sharp unbearable cramping pains in lower gut.","tired more than ususal, heartburn.","severe abdominal pain,bloating,gas,nauseous,constant hunger.",heartburn,heartburn,heartburn,heartburn,gas,flatulence
"did not help to lower my cholesterol, 55 put on 60 pounds.",choking,i started taking liptor as cholesterol was 494.,choking,choking,choking,choking,fatigued,fatigue
"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",my chloresterol was 220 and my physician prescribed lipitor.,20.12 day 15 rivaroxaban diary. haven't yet taken today's tablet. will when i eat. still intense lower back pain from yesterday's tablet.,hip,pain in hip,hip hurts,pain in hip,back pain,back pain
"started on 10mg, dose doubled to 20mg then to 40 mg.",muscle aches in legs.,increased from 20 - 40 mg.,severe muscle pains,myalgia,muscle aches in legs,myalgia,gassy,flatulence
dosage was increased from 10 to 20 mg and the tingling and numbness in my feet and shins escalated.,"swollen , burning feet and ankles.",my dr increased my dose from 10 to 20mg.,tingling in my feet,pins and needles,very painful pins and needles over entire foot,pins and needles,bloated,bloating
"sleeplessness, peripheral neuropathy (tingling, numbness), bizarre muscular sensations, rash, itch.","shoulder and neck muscle pain, tender joints, wrist pain, fogginess, depression when not getting enough rest, possible insomnia.","muscle pain and weakness, headaches, sleep disturbances.",sleeplessness,insomnia,insomnia,insomnia,muscles very tight,muscle tension
"tingling extremities, bruising, insomnia.","rt @csestrich21: all nighter is killing me right now, i hate you vyvanse","muscle pain and weakness, headaches, sleep disturbances.",insomnia,insomnia,all nighter,insomnia,muscles very tight,muscle tension
"have suffered from leg cramps(principally at night) since beginning 40 mg lipitor, 5 years ago, after a mild heart attack.","no side effect for first 4 weeks, cholesterol down to 150 from 210, then unusual pain and weakness began in both legs, worse on left.",after about 4 years of taking lipitor i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.,cramps,muscle cramp,cramped,muscle cramp,stomach pain,stomach ache
"joint pain, back and shoulder pain, arm pain, numbness and tingling in the hands.","i have been taking simvostatin for about 5 years,,since march 2010 i have been experiencing pain in my left leg and foot with exteem pain in my ankle and at times i have had dificultly in walking to the point were on some days i could not walk at all because the pain was so bad also had pain in my left arm as if i had strained it lifting but i havn't been lifting, this is not like me because i am normaly very fit and i love walking.",pain in shoulder and arms and hands.,arm pain,pain,exteem pain in my ankle,pain,pain in my arms,pain in upper extremities
"i had an extreme reaction - tunnel vision, vertigo, tingling and numbness (hands, legs, face), complete weakness in the right side of my body including loss of strength, and what i term as complete body flushes (like a hot flash without the hot).",tunnel vision,"extreme muscle spazms in my lower back, eye sight changes, fatigue and weakness.",tunnel vision,tunnel vision,tunnel vision,tunnel vision,extreme muscle spazms in my lower back,back muscle spasms
"after 3 doses of this med over 24 hour period, my pain was better; however, i experienced severe stomach cramping and diarrhea.","severe, gut-renching abdominal pain, jaundins, diahrea, sweats & hot flashes, vaginal bleeding, and now constipation.",after taking 3 or 4 times i started having very intense muscle pain with burning from the middle of my back and around my ribs to the center of my chest.,diarrhea,diarrhoea,diahrea,diarrhoea,very intense muscle pain with burning from the middle of my back and around my ribs to the center of my chest,polymyalgia
"cymbalta is legal, an antidepressant.....side effects: nausea, dry mouth, constipation, diarrhea, fatigue, &amp; thoughts of suicide",cymbalta makes me thirsty to the point where my mouth is painfully dry. it feels like the sahara desert in my mouth.,"as are (probably) the nausea, headache, sweats, flu symptoms &amp; diarrhea. but it?s still better than being on it.  #venlafaxine #withdrawal",dry mouth,dry mouth,mouth is painfully dry,dry mouth,diarrhea,diarrhea
"numbness in feet, leg, hip, neck cramps, eyes running, itchy and watery all the time like i was crying.",severe skin rash to my upper thighs .,"heavy legs, muscle aches, confusion, not able to remember things like whether i had done something or where i had placed something, stomach upset, indigestion, insomnia, sweating, shaking, shortness of breath, twitching, depression worse, fibromyalgia much worse.",itchy,itching,itch,itching,constipation,constipation
i started lipitor more than two years ago.,stopped because of high cpk.,i have been on lipitor for approximately two and a half years.,weakness,asthenia,weak all the time,asthenia,sleepless nites,insomnia
"@doctormcpa  had my doctor attempted to treat with bactrim prior to cipro, i wouldn't be crippled today.","fatigue and extremely high sleep requirement,pain and loss of support in calf musells, unable to walk,vertigo like attacks at night while in bed, loss of any sex drive(not complaining),ability to think ahead improving,.","i might have gained 30 lbs in 6 weeks on zyprexa...haven't lost that weight yet, and it's been 12 years now. call doc if it happens to you.",crippled,unable to walk,unable to walk,unable to walk,gained 30 lbs,weight gain
"trazodone hangovers are the worst, though. sigh","coming up this week: seroquel is notorious for two things - making you sleep until next tuesday, and leaving you a hangover.  lovely.","heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst.",hangovers,hangover effect,hangover,hangover effect,my skin in boils,furuncle
@glass1ncision  -nods-  my zombie-ness when i first wake up in the morning is mostly from my nightly meds too (seroquel).,@bipolarblogger i hate quetiapine. i was so relieved to come off it and stop feeling like a zombie.,my seroquel this morning got me lethargic,zombie-ness,felt like a zombie,zombie,felt like a zombie,lethargic,lethargic
i started lipitor more than two years ago.,"ok for 4 years, then muscle cramps, spasms, weakness in legs and right hand progressed to atrophy.",i have been on lipitor for approximately two and a half years.,spasm,spasms,spasms,spasms,sleepless nites,insomnia
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.","hair loss (diffuse alopecia), hair thinning.","involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",hair loss,hair loss,hair loss (diffuse alopecia),hair loss,muscle weakness,muscle weakness
"terrible short term memory problems, lack of motivation, weak and wobbly unbalanced feeling (walked like a 90 year old), not sure footed as i walked, overall weak feeling, difficulty driving due to muscle function irregularities, tightness in throat with occasional choking problem, lightheaded foggy brain (like being in a stupor), loss of endurance, heavy legs and arms, eye muscle spasms, dizziness (vertigo), lousy sleeping at night, terrible concentration, bad dreams nightly, foot and leg cramps especially at night in bed, always exhausted, hip joint pain, muscular aches, swallowing problems, hard to get out of bed in the morning, constant muscle tension in legs (inflexibility), sadness, mood swings, loss of muscle mass in chest and arms.",took for 2 weeks.,"memory loss, transient amnesia, severe shoulder and knee pain, insomnia, extreme tiredness,hard to get up in the am and hard to stay awake, crippling back pain, depression, loss of balance.",tightness in throat with occasional choking problem,throat tightness,tightness in my throat,throat tightness,crippling back pain,pain
high liver enzyme counts.,within 3 days i experienced extreme muscle pain and weakness.,"acid reflux, stomach pain, muscle pain, trouble with liver count.",damaged my liver permanently,hepatic disease,trouble with my liver,hepatic disease,urine dark brown,urine color abnormal
"mostly tingling/burning in arms and legs and back of neck, some lightheadedness, some memory loss, some chest pain, pain in shoulder-feels like arm pulled out of socket.",@pk_money i took a vyvanse and drank a 12oz redbull this morning. my heart was hurting a lil bit haha,"joint pain, back and shoulder pain, arm pain, numbness and tingling in the hands.",chest pain,chest pain,heart was hurting,chest pain,arm pain,pain
"stiff neck, sore left testicle ,arm muscles melting,legs feel like they don't belong to me.",pain in testis,"i have had muscle/joint pain, mainly in my arms which is very painful when i position them in certain ways; otherwise i am just.",sore left testicle,pain in testis,sore left testicle,pain in testis,pain,pain
i took lipitor for 6 weeks and noticed extreme dehydration and extremely dry eyes.,i'm having to pee way too much this drive.. drinking too much water. fuck you 70mg vyvanse and your ability to dehydrate the fuck out of me.,"after taking the drug for 7 years, i've suddenly developped diarrhea, nausea, loss of apetite, stomach cramps.",extreme dehydration,dehydration,dehydrate,dehydration,loss of apetite,appetite lost
took liptor for 3 months 2 years ago.,severe pain in both calfs and thighs.,started taking lipitor 3 months ago.,severe thigh muscle pain (both legs involved),pain,severe pain in both thighs,pain,fatigue,fatigue
"exhaustion, malaise, upset stomach/constant hunger.",stomach upset and notable dehydration.,"severe abdominal pain,bloating,gas,nauseous,constant hunger.",upset stomach,upset stomach,stomach upset,upset stomach,gas,flatulence
"1/7/05-chest pain, general weakness, depression, anxiety, just not myself , insomnia, fatigue, memory problems, inability to concentrate.","dizzyness, coninuing and increasing weakness (especially legs), aches & pains, loss of coherent thought, memory loss, wildly varying blood pressure, syptoms similar to tia's.","severe depression, anxiety, sore joints, sore back, lack of energy.",weak,asthenia,weakness,asthenia,severe depression,depression
"i am writing this for my husband--memory loss, tremors in right hand, symptoms of parkinson's disease.","loss of memory, aphasia, tremor, violent anger, tearfulness, insomnia, muscle weakness, easy bruising, and nosebleeds.",i have been recently diagnosed with possible early parkinson's symptoms.,memory loss,amnesia,loss of memory,amnesia,tremors in right hand,tremor
move slow eye heavy .no sleep at night and day time no sleep in four week !.,well played tysabri...kicking butt #nosleep.,unusually fatigued in afternoon.,no sleep,sleeplessness,nosleep,sleeplessness,fatigue,fatigue
within 3 days i experienced extreme muscle pain and weakness.,"it either caused or gave me peripheral neuropathy in my hands, arms, feet and legs.",i had muscle cramps and muscle pain.,trouble with my liver,hepatic disease,damaged my liver,hepatic disease,muscle pain,myalgia
severe plantar faciitis; debillitating leg pain; severe leg muscle weakness; hand weakness (constantly dropping things); palpitations; tachycardia; irrecular heartbeat; throat tightness; difficulty/shallow breathing; fatigue.,"@almostwell my blood pressure is fine, but my heart started lurching two weeks ago. savella didn't work for me, yeah. cymbalta rules!","severe leg pain and weakness, muscle cramps in legs, feet, arms, ribs, face.",irrecular heartbeat,heartbeats irregular,heart started lurching,heartbeats irregular,muscle cramps in face,facial spasm
"muscle wasting in the shoulders and arms,nerve problems in shoulder , fatigue and very sensative to the cold.","insommnia, loss of dreaming, inability to visualize; muscle pain, weakness, atrophy; tendinitis, tendinopathy, tendon contracture; miniscus damage; working memory and short-term memory loss, language and learning ability loss including spoken and written aphasia and inability to read; gall bladder disease, pancreatitis, acid reflux; inability to walk.","muscle aches and weakness in neck, arms, shoulders, upper back, legs.",muscle wasting in the shoulders,muscle atrophy,atrophy,muscle atrophy,weakness,asthenia
"i have been on lipitor, 10 mg for 1 1/2 years now and am now experiencing ankle, calf, thigh pain.",my body aches everywhere.,"after about 10 weeks on lipitor i suddenly developed pain/cramps in both my legs, the left being slightly worse than the right.",everything on my body hurts,generalised aching,body aches,generalised aching,cramps,muscle cramp
"extreme lower back pain, pain in neck and shoulders, calf cramping, red bumps on my skin.",i started taking lipitor in december 2009 and stopped after 4 months.,had muscle pain in my back (primarily small of my back) and down my leg.,pain in neck and shoulders,neck pain,extreme pain in neck,neck pain,muscle pain,myalgia
well played tysabri...kicking butt #nosleep.,the first day i took lipitor i couldn't sleep at night because i couldn't relax.,excruciating pain in right buttock.,nosleep,sleeplessness,couldn't sleep at night,sleeplessness,pain,pain
"10mg/day for 6 years, no side effects.","after 1 year on lipitor, i experienced severe pain in both hips & legs, would wake up with so much pain at night that i would get out of bed for relief.","for the most part, no side effects.",severe pain in hips,pain,severe pain in legs,pain,gas,flatulence
"muscle weakness, tendon weakness and ruptures, memory loss.","sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.","extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes.",muscle weakness,muscle weakness,muscle weakness,muscle weakness,cramping in toes,foot cramps
severe plantar faciitis; debillitating leg pain; severe leg muscle weakness; hand weakness (constantly dropping things); palpitations; tachycardia; irrecular heartbeat; throat tightness; difficulty/shallow breathing; fatigue.,"leg calf cramps, eyes feeling of pressure or spaced out feeling.","severe leg pain and weakness, muscle cramps in legs, feet, arms, ribs, face.",debillitating leg pain,pain of lower extremities,legs are killing me,pain of lower extremities,muscle cramps in face,facial spasm
"abdominal cramps, flatulence, gas, bloating.","deafness, muscle pain, chronic rhinitus, upper respiratory infections, short term memory loss (really scary), tendonitis, fatigue, flatulance, stomach discomfort, abdominal cramps.","severe abdominal pain,bloating,gas,nauseous,constant hunger.",abdominal cramps,abdominal colic,abdominal cramps,abdominal colic,gas,flatulence
constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets).,"severe joint pains, needed help getting out of bed and off a chair, whereas had been previously active, neck pain up to the back of the head, right knee protruding out of joint, whereas left knee remained normal, wrist and arm joints sore, red dots on skin all over body, liver function tests normal, however had all of other side effects.","experienced excruciating, unusual abdominal pain (bowel, uterine) and lower back pain for about 5 hours after taking (including diarrhea 6 times), and heart palpitations and vaginal bleeding for about a day after taking.",mobility has decreased,mobility decreased,needed help getting out of bed and off a chair,mobility decreased,lower back pain,low back pain
general depression and severe insomnia.,stopped because of high cpk.,"depression, insomnia, anxiety, tiredness, decreased eye sight, loss of quality of life.",severe insomnia,insomnia,insomnia,insomnia,decreased eye sight,loss of vision
muscle pain/inability to walk with left foot pain.,decreased muscle tone,severe muscle and joint pain in left leg.,overall loss of muscle tone,decreased muscle tone,overall loss of muscle tone,decreased muscle tone,pain,pain
my husband was on 10 mg for several years.,"a few years after the dosage was raised to 40 mg, i began to have a sharp pain in the ball of my right foot, diagnosed as a neuroma.",i was on 10 mgs. and then cut it in half for over two years.,pain,pain,sharp pain in the ball of my right foot,pain,muscle aches,myalgia
"terrible short term memory problems, lack of motivation, weak and wobbly unbalanced feeling (walked like a 90 year old), not sure footed as i walked, overall weak feeling, difficulty driving due to muscle function irregularities, tightness in throat with occasional choking problem, lightheaded foggy brain (like being in a stupor), loss of endurance, heavy legs and arms, eye muscle spasms, dizziness (vertigo), lousy sleeping at night, terrible concentration, bad dreams nightly, foot and leg cramps especially at night in bed, always exhausted, hip joint pain, muscular aches, swallowing problems, hard to get out of bed in the morning, constant muscle tension in legs (inflexibility), sadness, mood swings, loss of muscle mass in chest and arms.",tired-weak-pains all over body-groggy-light headed.,"memory loss, transient amnesia, severe shoulder and knee pain, insomnia, extreme tiredness,hard to get up in the am and hard to stay awake, crippling back pain, depression, loss of balance.",lightheaded foggy brain (like being in a stupor),lightheadedness,light headed,lightheadedness,crippling back pain,pain
i have had tendonitis in my knees and troublesome pain in my lower legs and feet.,"weakness, fatigue, muscle spasms, stiffness all over, achilles tendonitis that won't heal, flu-like symptoms, feeling like an old lady .",the last two years i have had severe pain in my feet and legs with a definite decrease in muscle strength.,tendonitis in my knees,tendonitis,tendonits,tendonitis,severe pain in my feet,pain
went to hospital with what i throught was heart attact.,"lipitor works fine for lowering cholesterol, but the side effects are killers, apparently.",went to hospital for my tmj pain because it was getting out of control.,week,asthenia,weakness,asthenia,shooting lower abdominal pains,lower abdominal pain
"leg pain, loss of memory, loss of libido and lack of sleep.","back, hip thigh, knee pain, which is affecting my gait.","sore muscles, memory loss, insomnia.",loss of memory,amnesia,memory loss,amnesia,sore muscles,myalgia
"for about 15 months i experienced severe fatigue, and initially for about three months very bad headaches which diminished in intensity but never completely went away.",took 4 out of 5 days.,after a few months i started having pain in different areas of my body and headaches almost everyday.,headaches,headache,headaches,headache,stomache aches,stomach ache
"rp mcmurphy was right about the trazodone being my new favorite bed-buddy. rip, melatonin dreams. you were getting too weird - even for me.",to take my seroquel and have weird dreams or to not... real life lyndsey world questions,what! nightmare made me jump awake! not nice at all. thought #quetiapine was supposed to keep me asleep through the night #psychosis #fail,dreams,abnormal dreams,weird dreams,abnormal dreams,nightmare,nightmares
"i was a vibrant healthy woman until easter saturday, 2006.","back pain, lipitor seems to be involved.",for as long as i could remember i've always had perfect cholesterol (from a percentage perspective anyway).,senistivity in the palms and soles of my feet,hyperaesthesia,hypersensitivity that wrapped around my abdomen,hyperaesthesia,was incredibly week,asthenia
"fatigue, muscle crammps, bloating, and intense chest pains.",i am 43 years old and have been taking lipitor for a year and a half.,"extreme fatigue, general muscle aches, dark urine, burning back pain.",mood swings,pain in fingers,aching in my fingers,pain in fingers,extreme fatigue,asthenia
"imence pain in legs,calf,feet,cramping in legs and feet,even toes,,armpain,swelling,extreme heaviness in limbs,backache,bloody noes, high cpk, my short term memory is terrible,confusion.","at the beginning i did not had any side effects, until a few months after start taking lipitor i experienced pain in the lower legs, sometimes i could not even walk in the mornings my muscles were very stiff.","debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",backache,backache,pain in the back,backache,swelling hands,hand swelling
