text,ade,meddra,level
"after taking my first pill, i quickly experienced extreme uterine cramping.","cold sweat, shaking uncontrollably",tremor,PT
"after taking my first pill, i quickly experienced extreme uterine cramping.",gut wrenching pain,pain,PT
"after taking my first pill, i quickly experienced extreme uterine cramping.",i felt like i was going to pass out,felt faint,LLT
"after taking my first pill, i quickly experienced extreme uterine cramping.",vaginal bleeding and i am only 11 days into my cycle,intermenstrual bleeding,LLT
"after taking my first pill, i quickly experienced extreme uterine cramping.","cold sweat, shaking uncontrollably",cold sweat,PT
"after taking my first pill, i quickly experienced extreme uterine cramping.",nauseated,nausea,PT
"after taking my first pill, i quickly experienced extreme uterine cramping.",uterine cramping,uterine spasm,PT
"after taking my first pill, i quickly experienced extreme uterine cramping.",going into shock,shock-like symptom,LLT
"after taking my first pill, i quickly experienced extreme uterine cramping.",pain,pain,PT
"after taking my first pill, i quickly experienced extreme uterine cramping.",several bowel movements,defaecation frequency increased,LLT
dizzines dioreah stomach cramps disorientation.,feeling depressed,depressed mood,PT
dizzines dioreah stomach cramps disorientation.,ulceration of stomach,gastric ulcer,PT
dizzines dioreah stomach cramps disorientation.,disorientation,disorientated,LLT
dizzines dioreah stomach cramps disorientation.,feeling exausted,fatigue,PT
dizzines dioreah stomach cramps disorientation.,dizzines,dizziness,PT
dizzines dioreah stomach cramps disorientation.,ulceration of the osophragus,ulcer oesophageal,LLT
dizzines dioreah stomach cramps disorientation.,stomach cramps,learning disorder,PT
dizzines dioreah stomach cramps disorientation.,dioreah,diarrhoea,PT
i was prescribed arthrotec 75 to take twice a day with or before food.,bleeding,bleeding,LLT
i was prescribed arthrotec 75 to take twice a day with or before food.,diarrhoa,diarrhoea,PT
i was prescribed arthrotec 75 to take twice a day with or before food.,could not stop shaking,tremor,PT
i was prescribed arthrotec 75 to take twice a day with or before food.,pain with stomach cramps,learning disorder,PT
i was prescribed arthrotec 75 to take twice a day with or before food.,heavy menstral bleeding with clots even though i had just finished my cycle a week before,menorrhagia,PT
i was prescribed arthrotec 75 to take twice a day with or before food.,felt very weak,asthenia,PT
i was prescribed arthrotec 75 to take twice a day with or before food.,urine full of blood,haematuria,PT
i was prescribed arthrotec 75 to take twice a day with or before food.,couldnt pass urine,urinary retention,PT
i had extreme abdominal pain that came on almost instantly and lasted hours from taking the arthrotec for the first time.,bleeding,bleeding,LLT
i had extreme abdominal pain that came on almost instantly and lasted hours from taking the arthrotec for the first time.,abdominal pain,abdominal pain,PT
i had extreme abdominal pain that came on almost instantly and lasted hours from taking the arthrotec for the first time.,threw up,vomiting,PT
took 4 out of 5 days.,constipation,constipation,PT
took 4 out of 5 days.,gas,wind,LLT
took 4 out of 5 days.,muscles in my left leg locked up,cramps of lower extremities,LLT
took 4 out of 5 days.,stomach cramps,learning disorder,PT
took 4 out of 5 days.,5-6 times at night to pee; normally 1 or 2,urinary frequency,LLT
took 4 out of 5 days.,headaches,headache,PT
"stomack pains, vomited all night about 6 times, abdominal pain, then i got severe vaginal bleeding , horrible.",stomack pains,stomach ache,LLT
"stomack pains, vomited all night about 6 times, abdominal pain, then i got severe vaginal bleeding , horrible.",abdominal pain,abdominal pain,PT
"stomack pains, vomited all night about 6 times, abdominal pain, then i got severe vaginal bleeding , horrible.",vomited,vomiting,PT
"stomack pains, vomited all night about 6 times, abdominal pain, then i got severe vaginal bleeding , horrible.",vaginal bleeding,vaginal bleeding,LLT
"lower dose for first month produced sporadic intense stomach cramps, diarrhea and nausea.",stomach cramps,learning disorder,PT
"lower dose for first month produced sporadic intense stomach cramps, diarrhea and nausea.",stomach gas and intense pain,pain gas,LLT
"lower dose for first month produced sporadic intense stomach cramps, diarrhea and nausea.",gastrointestinal cramping,wind,LLT
"lower dose for first month produced sporadic intense stomach cramps, diarrhea and nausea.",nausea,nausea,PT
"lower dose for first month produced sporadic intense stomach cramps, diarrhea and nausea.",sick,ill-defined disorder,PT
"lower dose for first month produced sporadic intense stomach cramps, diarrhea and nausea.",pain pain pain,pain,PT
"lower dose for first month produced sporadic intense stomach cramps, diarrhea and nausea.",diarrhea,diarrhoea,PT
"feels like menstrual cramps, back ache, sick to stomach for 24 hours +.",menstrual cramps,menstrual cramp,LLT
"feels like menstrual cramps, back ache, sick to stomach for 24 hours +.",sick to stomach,upset stomach,LLT
"feels like menstrual cramps, back ache, sick to stomach for 24 hours +.",back ache,backache,LLT
"feels like menstrual cramps, back ache, sick to stomach for 24 hours +.",sick to my stomach,upset stomach,LLT
"feels like menstrual cramps, back ache, sick to stomach for 24 hours +.",nausea,nausea,PT
"feels like menstrual cramps, back ache, sick to stomach for 24 hours +.",lower back pain,low back pain,LLT
i experienced mild cramps and bloating.,bloating,bloating,LLT
i experienced mild cramps and bloating.,mild cramps,muscle cramp,LLT
"nsaid gastritis, severe stomach upset after prolonged use.",menstrual cramps without vaginal bleeding,menstrual cramp,LLT
"nsaid gastritis, severe stomach upset after prolonged use.",severe stomach upset,upset stomach,LLT
"nsaid gastritis, severe stomach upset after prolonged use.",gastritis,wind,LLT
"nsaid gastritis, severe stomach upset after prolonged use.",menstrual cramps with vaginal bleeding,menstrual cramp,LLT
"nsaid gastritis, severe stomach upset after prolonged use.",increased menstruation,menorrhagia,PT
"nsaid gastritis, severe stomach upset after prolonged use.",very poor appetite,decreased appetite,PT
some swelling of the legs.,swelling of the legs,swelling of limbs,LLT
"from one pill : heavy menstrual bleeding even though my periods ended a week before, cramps, nausea.",cramps,muscle cramp,LLT
"from one pill : heavy menstrual bleeding even though my periods ended a week before, cramps, nausea.",bleeding,bleeding,LLT
"from one pill : heavy menstrual bleeding even though my periods ended a week before, cramps, nausea.",heavy menstrual bleeding,menorrhagia,PT
"from one pill : heavy menstrual bleeding even though my periods ended a week before, cramps, nausea.",nausea,nausea,PT
"ongoing stomach problems, had to have an endoscopy to understand why so much pain.",major cramps,muscle cramp,LLT
"ongoing stomach problems, had to have an endoscopy to understand why so much pain.",blood in my stools,haematochezia,PT
"ongoing stomach problems, had to have an endoscopy to understand why so much pain.",pain,pain,PT
"stomach queasy, but very mild, and goes away.",menopausal,menopausal,LLT
"stomach queasy, but very mild, and goes away.",stomach queasy,nausea,PT
"fatigue, constipation followed by diahorea.",constipation,constipation,PT
"fatigue, constipation followed by diahorea.",anxiety,anxiety,PT
"fatigue, constipation followed by diahorea.",fatigue,fatigue,PT
"fatigue, constipation followed by diahorea.",painful stomach cramps,learning disorder,PT
"fatigue, constipation followed by diahorea.",diahorea,diarrhoea,PT
"fatigue, constipation followed by diahorea.",passing blood and clots with stoals,haematochezia,PT
"severe headaches, stomach pain, loose stool, all of which spontaneously ended, followed soon after by agonizing muscle spasms in leg with bad knee.",stomach pain,stomach ache,LLT
"severe headaches, stomach pain, loose stool, all of which spontaneously ended, followed soon after by agonizing muscle spasms in leg with bad knee.",loose stool,loose stools,LLT
"severe headaches, stomach pain, loose stool, all of which spontaneously ended, followed soon after by agonizing muscle spasms in leg with bad knee.",muscle spasms in leg,cramps of lower extremities,LLT
"severe headaches, stomach pain, loose stool, all of which spontaneously ended, followed soon after by agonizing muscle spasms in leg with bad knee.",spasms in left arm,spasms,LLT
"severe headaches, stomach pain, loose stool, all of which spontaneously ended, followed soon after by agonizing muscle spasms in leg with bad knee.",severe headaches,headache,PT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",hot flashes,flushing,PT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",deep ache from my waist down to the heels of my feet,generalised aching,LLT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",excessive mestrual bleeding,menorrhagia,PT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",increase in cramping,muscle cramp,LLT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",deep pain- like gas pains,pain,PT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",back labor pains,backache,LLT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",stomach pain,stomach ache,LLT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",sweated,sweating,LLT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",pain in the pit of my stomach,stomach ache,LLT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",stomach stayed upset and painful,stomach ache,LLT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",stomach stayed upset and painful,upset stomach,LLT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",breasts getting more and more (and more!,breast enlargement,PT
"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",deep pain in my pelvis and down my legs,pain,PT
"the only side effect that i experienced was the hungry feeling in my stomach ;however i have no complaints, just praise !",hungry feeling,pain hunger,LLT
"initially, i experienced a slight, but noticeable difference in pain level: the pain was less severe.",acid reflux,acid reflux (oesophageal),LLT
"initially, i experienced a slight, but noticeable difference in pain level: the pain was less severe.",acidic bile in my mouth,acid reflux (oesophageal),LLT
none that i noticed.,blood pressure slightly elevated,increased blood pressure,LLT
"i took the drug only once, at about 9:00 p.m.",dizziness,dizziness,PT
"i took the drug only once, at about 9:00 p.m.",dizzy,dizziness,PT
"i took the drug only once, at about 9:00 p.m.",pain in major joints,arthralgia,PT
"i took the drug only once, at about 9:00 p.m.",nausea,nausea,PT
"i took the drug only once, at about 9:00 p.m.",stomach pain,stomach ache,LLT
"i took the drug only once, at about 9:00 p.m.",heart palpitations,palpitations,PT
"i took the drug only once, at about 9:00 p.m.",extreme gas in stomach and intestines,flatulence,PT
"i took the drug only once, at about 9:00 p.m.",acid reflux-type symptoms,acid reflux (oesophageal),LLT
"i took the drug only once, at about 9:00 p.m.",elevated blood pressure,hypertension,PT
"some stomach irritation, feels a bit like my pressure is up (in my head mostly).",stomach irritation,upset stomach,LLT
took 50 mg arthrotec with one tylenol #3 and within 30 minutes i had the most severe abdominal pain i've ever experienced.,severe abdominal pain,abdominal pain,PT
took 50 mg arthrotec with one tylenol #3 and within 30 minutes i had the most severe abdominal pain i've ever experienced.,bowel/uterine cramping,abdominal colic,LLT
took 50 mg arthrotec with one tylenol #3 and within 30 minutes i had the most severe abdominal pain i've ever experienced.,bowel/uterine cramping,spasm uterine,LLT
took 50 mg arthrotec with one tylenol #3 and within 30 minutes i had the most severe abdominal pain i've ever experienced.,severe pain,pain,PT
took 50 mg arthrotec with one tylenol #3 and within 30 minutes i had the most severe abdominal pain i've ever experienced.,severe abdominal pain,pain,PT
"severe abdominal pain,bloating,gas,nauseous,constant hunger.",severe abdominal pain,abdominal pain,PT
"severe abdominal pain,bloating,gas,nauseous,constant hunger.",bloating,bloating,LLT
"severe abdominal pain,bloating,gas,nauseous,constant hunger.",severe abdominal pain,pain,PT
"severe abdominal pain,bloating,gas,nauseous,constant hunger.",gas,flatulence,PT
"severe abdominal pain,bloating,gas,nauseous,constant hunger.",hunger,feeling hungry,LLT
"severe abdominal pain,bloating,gas,nauseous,constant hunger.",stomach is still sore,stomach ache,LLT
"severe abdominal pain,bloating,gas,nauseous,constant hunger.",nauseous,nausea,PT
particularly diahrea!,lower tendon pain,tendon pain,PT
particularly diahrea!,ankle swelling,swollen ankles,LLT
particularly diahrea!,diahrea,diarrhoea,PT
"i was prescribed this drug because i had spent a whole night in complete agony; abdominal pain, lower back pain, all that i imagine labor pain to be, except i was not in labor.",heavy vaginal bleeding,vaginal bleeding,LLT
"i was prescribed this drug because i had spent a whole night in complete agony; abdominal pain, lower back pain, all that i imagine labor pain to be, except i was not in labor.",headache,headache,PT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",dizzy,dizziness,PT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",gastric bleed,flatulence,PT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",gi bleed,flatulence,PT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",light headed,lightheadedness,LLT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",abdominal pain,abdominal pain,PT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",lower abdominal pain,abdominal pain,PT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",anemia,anaemia,PT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",heavy menstrual bleeding,menorrhagia,PT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",mentstrual cramps,menstrual cramp,LLT
"just took the drug about 30 minutes ago and am now experiencing the worst abdominal pain ever, like mentstrual cramps/diarreah cramping combined.",acidic bile at the back of my throat,acid reflux (oesophageal),LLT
slightly heavier menstrual cycle.,slightly heavier menstrual cycle,menorrhagia,PT
1 month prn.,gastric pain,flatulence,PT
1 month prn.,lower pelvic pain,pelvic pain,PT
1 month prn.,uterus contractions,uterine spasm,PT
1 month prn.,bloody vagina,vaginal bleeding,LLT
"heartburn, nausea, frequent feelings of voracious hunger & sharp unbearable cramping pains in lower gut.",heartburn,heartburn,LLT
"heartburn, nausea, frequent feelings of voracious hunger & sharp unbearable cramping pains in lower gut.",voracious hunger,appetite excessive,LLT
"heartburn, nausea, frequent feelings of voracious hunger & sharp unbearable cramping pains in lower gut.",sharp unbearable cramping pains in lower gut,lower abdominal pain,LLT
"heartburn, nausea, frequent feelings of voracious hunger & sharp unbearable cramping pains in lower gut.",nausea,nausea,PT
i was experiencing lower back pain & noticed my spouse had some arthrotec 50mg anti inflammatory pills left.,major menstrual cramps,menstrual cramp,LLT
i was experiencing lower back pain & noticed my spouse had some arthrotec 50mg anti inflammatory pills left.,sickness,ill-defined disorder,PT
i was experiencing lower back pain & noticed my spouse had some arthrotec 50mg anti inflammatory pills left.,pain,pain,PT
i was experiencing lower back pain & noticed my spouse had some arthrotec 50mg anti inflammatory pills left.,puking,vomiting,PT
i was experiencing lower back pain & noticed my spouse had some arthrotec 50mg anti inflammatory pills left.,bleeding,bleeding,LLT
"didn't have much pain relief, and within a few days of starting the meds i began having cramps and heavy vaginal bleeding.",heavy vaginal bleeding,vaginal bleeding,LLT
"didn't have much pain relief, and within a few days of starting the meds i began having cramps and heavy vaginal bleeding.",cramps,muscle cramp,LLT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",sweating,sweating,LLT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",severe abdominal cramping,learning disorder,PT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",dry mouth,dry mouth,PT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",vaginal bleeding,vaginal bleeding,LLT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",dry mouth,aptyalism,PT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",acid reflux,acid reflux (oesophageal),LLT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",period cramps,menstrual cramp,LLT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",pain,pain,PT
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",diarrhea,diarrhoea,PT
within half hour of taking this drug i suffered from excessive cramping.,fatigue,fatigue,PT
within half hour of taking this drug i suffered from excessive cramping.,nausea,nausea,PT
within half hour of taking this drug i suffered from excessive cramping.,dizzy,dizziness,PT
within half hour of taking this drug i suffered from excessive cramping.,pain,pain,PT
within half hour of taking this drug i suffered from excessive cramping.,tired,tiredness,LLT
within half hour of taking this drug i suffered from excessive cramping.,excessive cramping,muscle cramp,LLT
within half hour of taking this drug i suffered from excessive cramping.,shortness of breath,dyspnoea,PT
"i have taken 6 pills in the past (75mg each), but the side effect i had from my last pill was awful.",cramps,muscle cramp,LLT
"i have taken 6 pills in the past (75mg each), but the side effect i had from my last pill was awful.",severe vaginal cramps,vaginal spasm,LLT
"nausea,extreme hunger,stomach pain, abdominal pain, vaginal bleeding,cramps.",cramps,muscle cramp,LLT
"nausea,extreme hunger,stomach pain, abdominal pain, vaginal bleeding,cramps.",extreme hunger,feeling hungry,LLT
"nausea,extreme hunger,stomach pain, abdominal pain, vaginal bleeding,cramps.",vaginal bleeding,vaginal bleeding,LLT
"nausea,extreme hunger,stomach pain, abdominal pain, vaginal bleeding,cramps.",abdominal pain,abdominal pain,PT
"nausea,extreme hunger,stomach pain, abdominal pain, vaginal bleeding,cramps.",nausea,nausea,PT
"nausea,extreme hunger,stomach pain, abdominal pain, vaginal bleeding,cramps.",stomach pain,stomach ache,LLT
"after taking the drug for 7 years, i've suddenly developped diarrhea, nausea, loss of apetite, stomach cramps.",diarrhea,diarrhoea,PT
"after taking the drug for 7 years, i've suddenly developped diarrhea, nausea, loss of apetite, stomach cramps.",stomach cramps,learning disorder,PT
"after taking the drug for 7 years, i've suddenly developped diarrhea, nausea, loss of apetite, stomach cramps.",loss of apetite,appetite lost,LLT
"after taking the drug for 7 years, i've suddenly developped diarrhea, nausea, loss of apetite, stomach cramps.",nausea,nausea,PT
"one hour after taking arthrotec, i experienced the sudden onset of severe mentrual cramps.",severe mentrual cramps,menstrual cramp,LLT
"one hour after taking arthrotec, i experienced the sudden onset of severe mentrual cramps.",so much pain,pain,PT
anxiety and the feeling i was bleeding inside.,cramp,muscle cramp,LLT
anxiety and the feeling i was bleeding inside.,anxiety,anxiety,PT
anxiety and the feeling i was bleeding inside.,bleeding inside,bleeding,LLT
anxiety and the feeling i was bleeding inside.,'scared' feeling,fear,PT
vaginal bleeding and cramping 2 years after menopause.,vaginal bleeding,vaginal bleeding,LLT
vaginal bleeding and cramping 2 years after menopause.,cramping,muscle cramp,LLT
constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets).,muscle pain,myalgia,PT
constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets).,mobility has decreased,mobility decreased,PT
constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets).,constipation,constipation,PT
constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets).,extreme itching on legs and arms,itching,LLT
constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets).,joint pain,arthralgia,PT
constipation right from the start and in ladt 4 weeks extreme joint pain at night (just few hours after taking tablets).,pain,pain,PT
i have been on arthrotec for a year and a half and have been very pleased that it does help deal with my back pain.,"clotting, and horrible periods",menorrhagia,PT
i have been on arthrotec for a year and a half and have been very pleased that it does help deal with my back pain.,bleeding,bleeding,LLT
i have been on arthrotec for a year and a half and have been very pleased that it does help deal with my back pain.,bleeding has not subsided,bleeding,LLT
i have been on arthrotec for a year and a half and have been very pleased that it does help deal with my back pain.,bleeding problem,bleeding,LLT
i have been on arthrotec for a year and a half and have been very pleased that it does help deal with my back pain.,vaginal bleeding,vaginal bleeding,LLT
i have been on arthrotec for a year and a half and have been very pleased that it does help deal with my back pain.,heavy/extra vaginal bleeding,vaginal bleeding,LLT
i have been on arthrotec for a year and a half and have been very pleased that it does help deal with my back pain.,bleeding constantly,bleeding,LLT
"headaches, extreme tiredness, worse heartburn in back of throat, hunger pangs, dry mouth, severe lower abdominal pain/cramping, very irritable.",very irritable,irritable,LLT
"headaches, extreme tiredness, worse heartburn in back of throat, hunger pangs, dry mouth, severe lower abdominal pain/cramping, very irritable.",gerd,flatulence,PT
