,meddra,definition
36,fear of falling, an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)  descend in free fall under the influence of gravity
37,sleeplessness, a temporary state in which you are unable (or unwilling) to sleep
38,impatience, a lack of patience; irritation with anything that causes delay
39,joint stiffness, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) the physical property of being inflexible and hard to bend
40,pain in hip, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot either side of the body below the waist and above the thigh
41,walking difficulty, the act of traveling by foot an effort that is inconvenient
42,itchy skin, nervous and unable to relax a natural protective body covering and site of the sense of touch
43,liver function tests abnormal, large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function) trying something to find out about it not normal; not typical or usual or regular or conforming to a norm
44,generalised aching, speak or write in generalities a dull persistent (usually moderately intense) pain
45,pins and needles, a piece of jewelry that is pinned onto the wearer's garment  the leaf of a conifer
46,muscle weakness, one of the contractile organs of the body a flaw or weak point
47,pain in thigh, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the part of the leg between the hip and the knee
48,tachyphylaxis, 
49,motor dysfunction, machine that converts other forms of energy into mechanical energy and so imparts motion (medicine) any disturbance in the functioning of an organ or body part or a disturbance in the functioning of a social group
50,feeling unwell, the experiencing of affective and emotional states somewhat ill or prone to illness
51,numbness facial, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction cranial nerve that supplies facial muscles
52,knee pain, hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella a symptom of some physical hurt or disorder
53,pain, a symptom of some physical hurt or disorder
54,stiff knees, an ordinary man hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
55,breast enlargement, the front of the trunk from the neck to the abdomen the act of increasing (something) in size or volume or quantity or scope
56,difficulty in standing, an effort that is inconvenient a unit of length equal to one twelfth of a foot social or financial or professional status or reputation
57,"profound vision impairment, both eyes", showing intellectual penetration or emotional depth a vivid mental image  (used with count nouns) two considered together; the two opinion or judgment
58,pain burning, a symptom of some physical hurt or disorder the act of burning something
59,fatigue, temporary loss of strength and energy resulting from hard physical or mental work
60,food craving, any substance that can be metabolized by an animal to give energy and build tissue an intense desire for some particular thing
61,tiredness, temporary loss of strength and energy resulting from hard physical or mental work
62,diarrhoea, frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor
63,mood variable, a characteristic (habitual or relatively temporary) state of feeling something that is likely to vary; something that is subject to variation
64,dependence addictive, the state of relying on or being controlled by someone or something else causing or characterized by addiction
65,weakness of limbs, a flaw or weak point  one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
66,stomach ache, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a dull persistent (usually moderately intense) pain
67,raised serum creatinine," raise the level or amount of something an amber, watery fluid, rich in proteins, that separates out when blood coagulates "
68,anger, a strong emotion; a feeling that is oriented toward some real or supposed grievance
69,osteoarthritis, chronic breakdown of cartilage in the joints; the most common form of arthritis occurring usually after middle age
70,flushing," turn red, as if in embarrassment or shame"
71,pain in leg, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
72,peripheral neuropathy nos, (computer science) electronic equipment connected by cable to the CPU of a computer any pathology of the peripheral nerves a negative
73,spasms, a painful and involuntary muscular contraction
74,pain of lower extremities, a symptom of some physical hurt or disorder  the lower of two berths an external body part that projects from the body
75,sleep loss, a natural and periodic state of rest during which consciousness of the world is suspended something that is lost
76,sedation, a state of reduced excitement or anxiety that is induced by the administrative of a sedative agent
77,burning sensation, the act of burning something an unelaborated elementary awareness of stimulation
78,watering eyes, shedding tears opinion or judgment
79,neck pain, the part of an organism (human or animal) that connects the head to the rest of the body a symptom of some physical hurt or disorder
80,tired all the time, lose interest or become bored with something or somebody quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class  an instance or single occasion for some event
81,weight loss, the vertical force exerted by a mass as a result of gravity something that is lost
82,shoulder pain, the part of the body between the neck and the upper arm a symptom of some physical hurt or disorder
83,inability to orgasm, lack of ability (especially mental ability) to do something  the moment of most intense pleasure in sexual intercourse
84,urination frequency of, the discharge of urine the number of occurrences within a given time period 
85,myalgia of lower extremities, pain in a muscle or group of muscles  the lower of two berths an external body part that projects from the body
86,joint pain, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a symptom of some physical hurt or disorder
87,chest pain, the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates a symptom of some physical hurt or disorder
88,memory impairment, something that is remembered the occurrence of a change for the worse
89,irritable, easily irritated or annoyed
90,gastrointestinal symptom nos, of or relating to the stomach and intestines (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease a negative
91,dry eyes, a reformer who opposes the use of intoxicating beverages opinion or judgment
92,pain aggravated, a symptom of some physical hurt or disorder make worse
93,pain in hand, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the (prehensile) extremity of the superior limb
94,irrational, a real number that cannot be expressed as a rational number
95,itchy legs, nervous and unable to relax staying power
96,sweating, the process of the sweat glands of the skin secreting a salty fluid
97,menstrual cramp, of or relating to menstruation or the menses a painful and involuntary muscular contraction
98,taste disturbance," the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus activity that is a malfunction, intrusion, or interruption"
99,restless legs, worried and uneasy staying power
100,agitated, try to stir up public opinion
101,dizziness, a reeling sensation; a feeling that you are about to fall
102,tremor, an involuntary vibration (as if from illness or fear)
103,muscle tension, one of the contractile organs of the body (psychology) a state of mental or emotional strain or suspense
104,uterine spasm, of or involving the uterus a painful and involuntary muscular contraction
105,tight chest, closely constrained or constricted or constricting the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
106,loss of energy, something that is lost  (physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
107,mental dullness, involving the mind or an intellectual process the quality of being slow to understand
108,hunger, a physiological need for food; the consequence of food deprivation
109,abdominal bloating, the muscles of the abdomen become bloated or swollen or puff up
110,tendonitis, inflammation of a tendon
111,influenza like illness, an acute febrile highly contagious viral disease a similar kind impairment of normal physiological function affecting part or all of an organism
112,dehydration, dryness resulting from the removal of water
113,malaise, physical discomfort (as mild sickness or depression)
114,personality change," the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual an event that occurs when something passes from one state or phase to another"
115,irregular menstruation, a member of an irregular armed force that fights a stronger force by sabotage and harassment the monthly discharge of blood from the uterus of nonpregnant women from puberty to menopause
116,tendon pain, a cord or band of inelastic tissue connecting a muscle with its bony attachment a symptom of some physical hurt or disorder
117,loss of libido, something that is lost  (psychoanalysis) a Freudian term for sexual urge or desire
118,akathisia, 
119,pain joint, a symptom of some physical hurt or disorder (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
120,muscle weakness lower limb, one of the contractile organs of the body a flaw or weak point the lower of two berths one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
121,word finding difficulty," a unit of language that native speakers can identify the act of determining the properties of something, usually by research or calculation an effort that is inconvenient"
122,body fluid retention," the entire structure of an organism (an animal, plant, or human being) a substance that is fluid at room temperature and pressure the act of retaining something"
123,postmenopausal bleeding, subsequent to menopause the flow of blood from a ruptured blood vessel
124,vomiting, the reflex act of ejecting the contents of the stomach through the mouth
125,belching, the forceful expulsion of something from inside
126,influenza-like symptoms,  (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
127,learning disorder, the cognitive process of acquiring skill or knowledge a physical condition in which there is a disturbance of normal functioning
128,balance difficulty, a state of equilibrium an effort that is inconvenient
129,stiffness, the physical property of being inflexible and hard to bend
130,joint range of motion decreased," (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) an area in which something acts or operates or has power or control: ""the range of a supersonic jet""  the use of movements (especially of the hands) to communicate familiar or prearranged signals decrease in size, extent, or range"
131,drug toxicity, a substance that is used as a medicine or narcotic the degree to which something is poisonous
132,muscle strain, one of the contractile organs of the body (physics) deformation of a physical body under the action of applied forces
133,muscle twitch, one of the contractile organs of the body a sudden muscle spasm; especially one caused by a nervous condition
134,bizarre dreams, conspicuously or grossly unconventional or unusual a series of mental images and emotions occurring during sleep
135,drowsiness, a very sleepy state
136,pain in toe, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot one of the digits of the foot
137,lack of motivation, the state of needing something that is absent or unavailable  the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
138,tinnitus, a ringing or booming sensation in one or both ears; a symptom of an ear infection or Meniere's disease
139,hypertension, a common disorder in which blood pressure remains abnormally high (a reading of 140/90 mm Hg or greater)
140,itchy, nervous and unable to relax
141,weight increased, the vertical force exerted by a mass as a result of gravity become bigger or greater in amount
142,insomnia, an inability to sleep; chronic sleeplessness
143,upset stomach, an unhappy and worried mental state an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
144,constipation, irregular and infrequent or difficult evacuation of the bowels; can be a symptom of intestinal obstruction or diverticulitis
145,pain in upper extremities, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the higher of two berths an external body part that projects from the body
146,obsessive-compulsive disorder, a person with obsessive-compulsive characteristics a physical condition in which there is a disturbance of normal functioning
147,numbness in toes, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot one of the digits of the foot
148,mood swings, a characteristic (habitual or relatively temporary) state of feeling a state of steady vigorous action that is characteristic of an activity
149,pancreatitis, inflammation of the pancreas; usually marked by abdominal pain
150,racing thoughts, the sport of engaging in contests of speed the content of cognition; the main thing you are thinking about
151,loss of confidence, something that is lost  freedom from doubt; belief in yourself and your abilities
152,cold intolerance, a mild viral infection involving the nose and respiratory passages (but not the lungs) impatience with annoyances
153,pain in fingers, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot any of the terminal members of the hand (sometimes excepting the thumb)
154,change in sleep pattern, an event that occurs when something passes from one state or phase to another a unit of length equal to one twelfth of a foot a natural and periodic state of rest during which consciousness of the world is suspended a perceptual structure
155,drug withdrawal syndrome, a substance that is used as a medicine or narcotic a retraction of a previously held position a complex of concurrent things
156,loose stools, grant freedom to; free from confinement a simple seat without a back or arms
157,low back pain, an air mass of lower pressure; often brings precipitation the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder
158,nightmares, a situation resembling a terrifying dream
159,palpitations, a rapid and irregular heart beat
160,vivid dreams, evoking lifelike images within the mind a series of mental images and emotions occurring during sleep
161,appetite lost, a feeling of craving something people who are destined to die soon
162,libido decreased," (psychoanalysis) a Freudian term for sexual urge or desire decrease in size, extent, or range"
163,ulcer oesophageal, a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue 
164,dry skin, a reformer who opposes the use of intoxicating beverages a natural protective body covering and site of the sense of touch
165,wind, air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
166,skin erythema, a natural protective body covering and site of the sense of touch abnormal redness of the skin resulting from dilation of blood vessels (as in sunburn or inflammation)
167,abnormal dreams, not normal; not typical or usual or regular or conforming to a norm a series of mental images and emotions occurring during sleep
168,skin disorder, a natural protective body covering and site of the sense of touch a physical condition in which there is a disturbance of normal functioning
169,limping, disability of walking due to crippling of the legs or feet
170,parkinsonism, a degenerative disorder of the central nervous system characterized by tremor and impaired muscular coordination
171,amnesia, partial or total loss of memory
172,nasal sinus congestion, a consonant produced through the nose with the mouth closed an abnormal passage leading from a suppurating cavity to the body surface excessive accumulation of blood or other fluid in a body part
173,serum calcium increased," an amber, watery fluid, rich in proteins, that separates out when blood coagulates a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals become bigger or greater in amount"
174,painful l arm," causing physical or psychological pain a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints) a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb"
175,crying, the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
176,stomach pain, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a symptom of some physical hurt or disorder
177,renal disease, of or relating to the kidneys an impairment of health or a condition of abnormal functioning
178,sensation of heaviness, an unelaborated elementary awareness of stimulation  the property of being comparatively great in weight
179,chest discomfort, the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates the state of being tense and feeling pain
180,pain ankle, a symptom of some physical hurt or disorder a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
181,charley horse,  solid-hoofed herbivorous quadruped domesticated since prehistoric times
182,pain in elbow, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
183,excitement, the feeling of lively and cheerful joy
184,aching in knees, a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
185,cramps calf, a painful and involuntary muscular contraction young of domestic cattle
186,swallowing difficult, pass through the esophagus as part of eating or drinking not easy; requiring great physical or mental effort to accomplish or comprehend or endure
187,withdrawal syndrome, a retraction of a previously held position a complex of concurrent things
188,indigestion, a disorder of digestive function characterized by discomfort or heartburn or nausea
189,gastric ulcer, relating to or involving the stomach a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
190,vertigo, a reeling sensation; a feeling that you are about to fall
191,vaginal bleeding, of or relating to the vagina the flow of blood from a ruptured blood vessel
192,pain ovarian, a symptom of some physical hurt or disorder of or involving the ovaries
193,transient ischaemic attack, one who stays for only a short time relating to or affected by ischemia (military) an offensive against an enemy (using weapons)
194,creatinine increased,  become bigger or greater in amount
195,mastalgia, pain in the breast
196,back pain, the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder
197,black stools, the quality or state of the achromatic color of least lightness (bearing the least resemblance to white) a simple seat without a back or arms
198,unable to walk, (usually followed by `to') not having the necessary means or skill or know-how  the act of traveling by foot
199,swelling of feet, an abnormal protuberance or localized enlargement  the part of the leg of a human being below the ankle joint
200,dyspnoea, difficult or labored respiration
201,vaginal burning sensation, of or relating to the vagina the act of burning something an unelaborated elementary awareness of stimulation
202,cognitive impairment, of or being or relating to or involving cognition the occurrence of a change for the worse
203,arthritis, inflammation of a joint or joints
204,cough, a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
205,swollen ankles," increase in size, magnitude, number, or intensity a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus"
206,blood sugar increased," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets a white crystalline carbohydrate used as a sweetener and preservative become bigger or greater in amount"
207,bloated feeling, become bloated or swollen or puff up the experiencing of affective and emotional states
208,pain in heel, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
209,periorbital oedema,"  swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities"
210,diastolic dysfunction, of or relating to a diastole or happening during a diastole (medicine) any disturbance in the functioning of an organ or body part or a disturbance in the functioning of a social group
211,unable to eat, (usually followed by `to') not having the necessary means or skill or know-how  take in solid food
212,bronchitis, inflammation of the membranes lining the bronchial tubes
213,burning foot, the act of burning something the part of the leg of a human being below the ankle joint
214,twitching, a sudden muscle spasm; especially one caused by a nervous condition
215,expressive language disorder, characterized by expression a systematic means of communicating by the use of sounds or conventional symbols a physical condition in which there is a disturbance of normal functioning
216,cramp in hand, a painful and involuntary muscular contraction a unit of length equal to one twelfth of a foot the (prehensile) extremity of the superior limb
217,slurred speech, play smoothly or legato the act of delivering a formal spoken communication to an audience
218,walking disability, the act of traveling by foot the condition of being unable to perform as a consequence of physical or mental unfitness
219,allergic reaction, characterized by or caused by allergy (chemistry) a process in which one or more substances are changed into others
220,migraine, a severe recurring vascular headache; occurs more frequently in women than men
221,foot pain, the part of the leg of a human being below the ankle joint a symptom of some physical hurt or disorder
222,sleepy, ready to fall asleep
223,aquagenic pruritus,  an intense itching sensation that can have various causes (as by allergies or infection or lymphoma or jaundice etc.)
224,exhaustion, extreme fatigue
225,weakness in extremity, a flaw or weak point a unit of length equal to one twelfth of a foot an external body part that projects from the body
226,rash, any red eruption of the skin
227,urinary urgency, of or relating to the function or production or secretion of urine the state of being urgent; an earnest and insistent necessity
228,swelling of knees, an abnormal protuberance or localized enlargement  hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
229,bloating, become bloated or swollen or puff up
230,flu like symptoms, an acute febrile highly contagious viral disease a similar kind (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
231,psychosis, any severe mental disorder in which contact with reality is lost or highly distorted
232,spotting menstrual, the act of spotting or staining something of or relating to menstruation or the menses
233,mental impairment, involving the mind or an intellectual process the occurrence of a change for the worse
234,dyssomnia, 
235,sluggishness, a state of comatose torpor (as found in sleeping sickness)
236,hepatic failure, any of numerous small green nonvascular plants of the class Hepaticopsida growing in wet places and resembling green seaweeds or leafy mosses an act that fails
237,blood pressure raised," the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit) raise the level or amount of something"
238,trouble falling asleep, a source of difficulty descend in free fall under the influence of gravity in a state of sleep
239,feeling stoned, the experiencing of affective and emotional states kill by throwing stones at
240,respiratory tract congestion, pertaining to respiration an extended area of land excessive accumulation of blood or other fluid in a body part
241,carbohydrate craving, an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain an intense desire for some particular thing
242,hard to awaken, not easy; requiring great physical or mental effort to accomplish or comprehend or endure  cause to become awake or conscious
243,sleepiness, a very sleepy state
244,groggy, stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
245,leg cramps, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a painful and involuntary muscular contraction
246,poor concentration, people without possessions or wealth (considered as a group) the strength of a solution; number of molecules of a substance in a given volume
247,aphthous ulcer,  a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
248,glossitis, inflammation of the tongue
249,sexual dysfunction, of or relating to or characterized by sexuality (medicine) any disturbance in the functioning of an organ or body part or a disturbance in the functioning of a social group
250,back muscle spasms, the posterior part of a human (or animal) body from the neck to the end of the spine one of the contractile organs of the body a painful and involuntary muscular contraction
251,ringing in ears, the sound of a bell ringing a unit of length equal to one twelfth of a foot the sense organ for hearing and equilibrium
252,cold sweat, a mild viral infection involving the nose and respiratory passages (but not the lungs) salty fluid secreted by sweat glands
253,upper back pain, the higher of two berths the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder
254,paraesthesia lower limb, abnormal skin sensations (as tingling or tickling or itching or burning) usually associated with peripheral nerve damage the lower of two berths one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
255,abdominal pain, the muscles of the abdomen a symptom of some physical hurt or disorder
256,chills, coldness due to a cold environment
257,addiction, being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
258,impending doom, be imminent or about to happen an unpleasant or disastrous destiny
259,neuralgia, acute spasmodic pain along the course of one or more nerves
260,felt faint, a fabric made of compressed matted animal fibers a spontaneous loss of consciousness caused by insufficient blood to the brain
261,facial swelling, cranial nerve that supplies facial muscles an abnormal protuberance or localized enlargement
262,manic reaction, affected with or marked by frenzy or mania uncontrolled by reason (chemistry) a process in which one or more substances are changed into others
263,lack of feeling emotions, the state of needing something that is absent or unavailable  the experiencing of affective and emotional states any strong feeling
264,myositis, inflammation of muscle tissue
265,abdominal colic, the muscles of the abdomen acute abdominal pain (especially in infants)
266,mobility decreased," the quality of moving freely decrease in size, extent, or range"
267,dilated pupils, become wider a learner who is enrolled in an educational institution
268,middle insomnia, an area that is approximately central within some larger region an inability to sleep; chronic sleeplessness
269,gastrointestinal disturbance," of or relating to the stomach and intestines activity that is a malfunction, intrusion, or interruption"
270,dysmenorrhoea, 
271,function liver abnormal, (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function) large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes not normal; not typical or usual or regular or conforming to a norm
272,oedema lower limb," swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities the lower of two berths one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper"
273,menorrhagia, abnormally heavy or prolonged menstruation; can be a symptom of uterine tumors and can lead to anemia if prolonged
274,visual disturbance," relating to or using sight activity that is a malfunction, intrusion, or interruption"
275,pain hunger, a symptom of some physical hurt or disorder a physiological need for food; the consequence of food deprivation
276,cramp, a painful and involuntary muscular contraction
277,tongue swelling non-specific, a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity an abnormal protuberance or localized enlargement 
278,decreased exercise endurance," decrease in size, extent, or range the activity of exerting your muscles in various ways to keep fit the power to withstand hardship or stress"
279,floating feeling, the act of someone who floats on the water the experiencing of affective and emotional states
280,cold feet, a mild viral infection involving the nose and respiratory passages (but not the lungs) the part of the leg of a human being below the ankle joint
281,binge eating, any act of immoderate indulgence the act of consuming food
282,forgetfulness, tendency to forget
283,inability to lose weight," lack of ability (especially mental ability) to do something  fail to keep or to maintain; cease to have, either physically or in an abstract sense the vertical force exerted by a mass as a result of gravity"
284,intractable pain, not tractable; difficult to manage or mold a symptom of some physical hurt or disorder
285,erythema, abnormal redness of the skin resulting from dilation of blood vessels (as in sunburn or inflammation)
286,swelling, an abnormal protuberance or localized enlargement
287,"delusional disorder, unspecified type", suffering from or characterized by delusions  not stated explicitly or in detail a subdivision of a particular kind of thing
288,neuropathy, any pathology of the peripheral nerves
289,irradiating pain, give spiritual insight to; in religion a symptom of some physical hurt or disorder
290,numbness, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction
291,detachment, avoiding emotional involvement
292,writing impaired, the act of creating written works make worse or less effective
293,sleep disturbed, a natural and periodic state of rest during which consciousness of the world is suspended move deeply
294,hypertonia, (of muscular tissue) the state of being hypertonic
295,breathing difficult, the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation not easy; requiring great physical or mental effort to accomplish or comprehend or endure
296,sun sensitivity, the star that is the source of light and heat for the planets in the solar system (physiology) responsiveness to external stimuli; the faculty of sensation
297,priapism, condition in which the penis is continually erect; usually painful and seldom with sexual arousal
298,cataract, an eye disease that involves the clouding or opacification of the natural lens of the eye
299,seizure, a sudden occurrence (or recurrence) of a disease
300,haemorrhage rectal, the flow of blood from a ruptured blood vessel of or involving the rectum
301,depression respiratory, a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity pertaining to respiration
302,intermenstrual bleeding,  the flow of blood from a ruptured blood vessel
303,muscle spasm, one of the contractile organs of the body a painful and involuntary muscular contraction
304,ligamentitis, 
305,ill-defined disorder, poorly stated or described a physical condition in which there is a disturbance of normal functioning
306,eczema, generic term for inflammatory conditions of the skin; particularly with vesiculation in the acute stages
307,urinary retention, of or relating to the function or production or secretion of urine the act of retaining something
308,ache, a dull persistent (usually moderately intense) pain
309,increased appetite, become bigger or greater in amount a feeling of craving something
310,lower abdominal pain, the lower of two berths the muscles of the abdomen a symptom of some physical hurt or disorder
311,sleep paralysis, a natural and periodic state of rest during which consciousness of the world is suspended loss of the ability to move a body part
312,feeling hungry, the experiencing of affective and emotional states feeling hunger; feeling a need or desire to eat food
313,cold extremities, a mild viral infection involving the nose and respiratory passages (but not the lungs) an external body part that projects from the body
314,hepatic disease, any of numerous small green nonvascular plants of the class Hepaticopsida growing in wet places and resembling green seaweeds or leafy mosses an impairment of health or a condition of abnormal functioning
315,buttock pain, either of the two large fleshy masses of muscular tissue that form the human rump a symptom of some physical hurt or disorder
316,itching, an irritating cutaneous sensation that produces a desire to scratch
317,drunk-like effect,  a phenomenon that follows and is caused by some previous phenomenon
318,gingivitis, inflammation of the gums
319,paraesthesia hand, abnormal skin sensations (as tingling or tickling or itching or burning) usually associated with peripheral nerve damage the (prehensile) extremity of the superior limb
320,ill feeling, an often persistent bodily disorder or disease; a cause for complaining the experiencing of affective and emotional states
321,dissociation, the act of removing from association
322,heart rate irregular, the locus of feelings and intuitions a magnitude or frequency relative to a time unit a member of an irregular armed force that fights a stronger force by sabotage and harassment
323,tourette's disorder,  a physical condition in which there is a disturbance of normal functioning
324,pain in calf, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot young of domestic cattle
