,ade,definition
28,head pressure, the upper part of the human body or the front part of the body in animals; contains the face and brains the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
29,my gait was like someone who could barely walk,  the rate of moving (especially walking or running) a state in northwestern United States on the Pacific a similar kind a human being a United Nations agency to coordinate international health activities and to help governments improve health services  only a very short time before the act of traveling by foot
30,general muscle soreness, a general officer of the highest rank one of the contractile organs of the body a pain that is felt (as when the area is touched)
31,cannot concentrate,  the desired mineral that is left after impurities have been removed from mined ore
32,short term memory loss, the location on a baseball field where the shortstop is stationed a word or expression used for some particular thing something that is remembered something that is lost
33,cramps, a painful and involuntary muscular contraction
34,excessive sleep requirements, beyond normal limits a natural and periodic state of rest during which consciousness of the world is suspended required activity
35,depression, a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
36,stomach cramps, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a painful and involuntary muscular contraction
37,sick, people who are sick
38,muscle pain, one of the contractile organs of the body a symptom of some physical hurt or disorder
39,fear of falling over, an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)  descend in free fall under the influence of gravity (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch
40,haven't slept,  be asleep
41,impatient, restless or short-tempered under delay or opposition
42,joint stiffness, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) the physical property of being inflexible and hard to bend
43,hip joints just started hurting, either side of the body below the waist and above the thigh (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) used especially of what is legally or ethically right or proper or fitting take the first step or steps in carrying out an action a symptom of some physical hurt or disorder
44,could hardly walk,  only a very short time before the act of traveling by foot
45,skin itchiness, a natural protective body covering and site of the sense of touch an irritating cutaneous sensation that produces a desire to scratch
46,very elevated liver function tests, precisely as stated a railway that is powered by electricity and that runs on a track that is raised above the street level large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function) trying something to find out about it
47,body aches," the entire structure of an organism (an animal, plant, or human being) a dull persistent (usually moderately intense) pain"
48,tingling, a somatic sensation as from many tiny prickles
49,muscle weakness, one of the contractile organs of the body a flaw or weak point
50,stabbing pain above a knee, use a knife on a symptom of some physical hurt or disorder an earlier section of a written text a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
51,stopped working," come to a halt, stop moving a mine or quarry that is being or has been worked"
52,loss of fine motor skills, something that is lost  money extracted as a penalty machine that converts other forms of energy into mechanical energy and so imparts motion an ability that has been acquired by training
53,not dangerous but it is damn unpleasant," negation of a word or group of words involving or causing danger or risk; liable to hurt or harm and nothing more the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information have the quality of being; (copula, used with an adjective or a predicate noun) something of little value disagreeable to the senses, to the mind, or feelings"
54,numbness on left side of face, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction in operation or operational location near or direction toward the left side; i.e. the side to the north when a person or object faces east a place within a region identified relative to a center or reference location  the front of the human head from the forehead to the chin and ear to ear
55,severe left knee pain, intensely or extremely bad or unpleasant in degree or quality location near or direction toward the left side; i.e. the side to the north when a person or object faces east hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella a symptom of some physical hurt or disorder
56,extreme muscle pains, the furthest or highest degree of something one of the contractile organs of the body an effortful attempt to attain a goal
57,stiffness in both knees, the physical property of being inflexible and hard to bend a unit of length equal to one twelfth of a foot (used with count nouns) two considered together; the two hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
58,breasts getting more and more (and more!," the front of the trunk from the neck to the abdomen the act of acquiring something English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state  English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state  "
59,feel like i can't even stand, an intuitive awareness;  a similar kind a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)  the latter part of the day (the period of decreasing daylight from late afternoon until nightfall) a support or foundation
60,vision severe impairment, a vivid mental image intensely or extremely bad or unpleasant in degree or quality the occurrence of a change for the worse
61,difficult to walk, not easy; requiring great physical or mental effort to accomplish or comprehend or endure  the act of traveling by foot
62,intense muscle pain with intense burning in my neck, possessing or displaying a distinctive feature to a heightened degree one of the contractile organs of the body a symptom of some physical hurt or disorder  possessing or displaying a distinctive feature to a heightened degree the act of burning something a unit of length equal to one twelfth of a foot  the part of an organism (human or animal) that connects the head to the rest of the body
63,fatigue, temporary loss of strength and energy resulting from hard physical or mental work
64,cravings, an intense desire for some particular thing
65,siiiiiiiiiiiiiiick, 
66,gained 50, obtain the cardinal number that is the product of ten and five
67,tired, lose interest or become bored with something or somebody
68,diarrhea, frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor
69,hair loss, a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss something that is lost
70,pain, a symptom of some physical hurt or disorder
71,moodiness, a sullen gloomy feeling
72,dragging legs," pull, as against a resistance staying power"
73,severe pain in hips, intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot either side of the body below the waist and above the thigh
74,addictive, causing or characterized by addiction
75,arm weakness, a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb a flaw or weak point
76,stomach pain, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a symptom of some physical hurt or disorder
77,extreme lower back pain, the furthest or highest degree of something the lower of two berths the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder
78,elevated cpk levels, a railway that is powered by electricity and that runs on a track that is raised above the street level  a position on a scale of intensity or amount or quality
79,angry, feeling or showing anger
80,signs of osteoarthritis, a perceptible indication of something not immediately apparent (as a visible clue that something has happened)  chronic breakdown of cartilage in the joints; the most common form of arthritis occurring usually after middle age
81,moody, United States tennis player who dominated women's tennis in the 1920s and 1930s (1905-1998)
82,hot flashes, used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning a sudden intense burst of radiant energy
83,extreme ache in left leg, the furthest or highest degree of something a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
84,peripheral neuropathy, (computer science) electronic equipment connected by cable to the CPU of a computer any pathology of the peripheral nerves
85,severe pain legs, intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder staying power
86,spasms in left arm, a painful and involuntary muscular contraction a unit of length equal to one twelfth of a foot location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
87,pains in his legs, an effortful attempt to attain a goal a unit of length equal to one twelfth of a foot  staying power
88,keeping me up, conformity or harmony a state in New England raise
89,hit hard, (baseball) a successful stroke in an athletic contest (especially in baseball) not easy; requiring great physical or mental effort to accomplish or comprehend or endure
90,muscle and joint pain, one of the contractile organs of the body  (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a symptom of some physical hurt or disorder
91,burning, the act of burning something
92,gas, the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
93,short term memory problems, the location on a baseball field where the shortstop is stationed a word or expression used for some particular thing something that is remembered a state of difficulty that needs to be resolved
94,watery, filled with water
95,neck pains, the part of an organism (human or animal) that connects the head to the rest of the body an effortful attempt to attain a goal
96,weight gain, the vertical force exerted by a mass as a result of gravity a quantity that is added
97,feel like crap, an intuitive awareness;  a similar kind obscene terms for feces
98,tired most of the time, lose interest or become bored with something or somebody (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number   an instance or single occasion for some event
99,lost 4 stone, people who are destined to die soon the cardinal number that is the sum of three and one a lump or mass of hard consolidated mineral matter
100,could not sleep well,  negation of a word or group of words a natural and periodic state of rest during which consciousness of the world is suspended a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
101,shoulder pain, the part of the body between the neck and the upper arm a symptom of some physical hurt or disorder
102,orgasm, the moment of most intense pleasure in sexual intercourse
103,general weakness in hands, a general officer of the highest rank a flaw or weak point a unit of length equal to one twelfth of a foot (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
104,muscle pains, one of the contractile organs of the body an effortful attempt to attain a goal
105,pee way too much, liquid excretory product how something is done or how it happens to a degree exceeding normal or proper limits a great amount or extent
106,muscle aches, one of the contractile organs of the body a dull persistent (usually moderately intense) pain
107,leg muscle inflamed, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle one of the contractile organs of the body cause inflammation in
108,major stomach pain, a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a symptom of some physical hurt or disorder
109,chest pains, the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates an effortful attempt to attain a goal
110,joint pains, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) an effortful attempt to attain a goal
111,pain in neck and shoulders, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the part of an organism (human or animal) that connects the head to the rest of the body  the part of the body between the neck and the upper arm
112,blurred vision, become glassy; lose clear vision a vivid mental image
113,couldn't remember where i left my dog 10 minutes before,  recall knowledge from memory; have a recollection  a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks) location near or direction toward the left side; i.e. the side to the north when a person or object faces east  a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds the cardinal number that is the sum of nine and one; the base of the decimal system a written account of what transpired at a meeting earlier in time; previously
114,crabby, annoyed and irritable
115,abdominal flu symptoms, the muscles of the abdomen an acute febrile highly contagious viral disease (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
116,dry eyes, a reformer who opposes the use of intoxicating beverages opinion or judgment
117,pain trying to walk, a symptom of some physical hurt or disorder make an effort or attempt  the act of traveling by foot
118,sore neck, an open skin infection the part of an organism (human or animal) that connects the head to the rest of the body
119,hands hurt, (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child any physical damage to the body caused by violence or accident or fracture etc.
120,common for apartments to be haunted, a piece of open land for recreational use in an urban area  a suite of rooms usually on one floor of an apartment house  a light strong brittle grey toxic bivalent metallic element follow stealthily or recur constantly and spontaneously to
121,leg is itching," a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle have the quality of being; (copula, used with an adjective or a predicate noun) an irritating cutaneous sensation that produces a desire to scratch"
122,extreme headaches, the furthest or highest degree of something something or someone that causes anxiety; a source of unhappiness
123,bluss and ititching of the face,      the front of the human head from the forehead to the chin and ear to ear
124,nausea, the state that precedes vomiting
125,could not sleep,  negation of a word or group of words a natural and periodic state of rest during which consciousness of the world is suspended
126,lack of sleep, the state of needing something that is absent or unavailable  a natural and periodic state of rest during which consciousness of the world is suspended
127,leg pain, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a symptom of some physical hurt or disorder
128,sweating, the process of the sweat glands of the skin secreting a salty fluid
129,menstrual cramps with vaginal bleeding, of or relating to menstruation or the menses a painful and involuntary muscular contraction  of or relating to the vagina the flow of blood from a ruptured blood vessel
130,weakness in my arms, a flaw or weak point a unit of length equal to one twelfth of a foot  weapons considered collectively
131,taste, the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
132,restless legs, worried and uneasy staying power
133,jacked up, lift with a special device raise
134,lost 10 pounds, people who are destined to die soon the cardinal number that is the sum of nine and one; the base of the decimal system 16 ounces avoirdupois
135,imence pain in legs,  a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot staying power
136,dizziness, a reeling sensation; a feeling that you are about to fall
137,tremors although the body," an involuntary vibration (as if from illness or fear)   the entire structure of an organism (an animal, plant, or human being)"
138,muscles in my lower abdomen started to contract, one of the contractile organs of the body a unit of length equal to one twelfth of a foot  the lower of two berths the region of the body of a vertebrate between the thorax and the pelvis take the first step or steps in carrying out an action  a binding agreement between two or more persons that is enforceable by law
139,extreme right shoulder pain," the furthest or highest degree of something an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" the part of the body between the neck and the upper arm a symptom of some physical hurt or disorder"
140,"uterine, cramps (menopausal for 20 years)",  a painful and involuntary muscular contraction   the cardinal number that is the sum of nineteen and one 
141,numbness face, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction the front of the human head from the forehead to the chin and ear to ear
142,weird tight feeling in chest cavity, fate personified; any one of the three Weird Sisters closely constrained or constricted or constricting the experiencing of affective and emotional states a unit of length equal to one twelfth of a foot the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates a sizeable hole (usually in the ground)
143,lack of energy, the state of needing something that is absent or unavailable  (physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
144,stomach ache, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a dull persistent (usually moderately intense) pain
145,hot/heated flushing sensation that began mid-torso and continued up to the top of head (top of scalp started tingling and burning),"  turn red, as if in embarrassment or shame an unelaborated elementary awareness of stimulation  take the first step or steps in carrying out an action   continue a certain state, condition, or activity raise   the upper part of anything  the upper part of the human body or the front part of the body in animals; contains the face and brains   the skin that covers the top of the head take the first step or steps in carrying out an action a somatic sensation as from many tiny prickles  "
146,my head was foggy,  the upper part of the human body or the front part of the body in animals; contains the face and brains a state in northwestern United States on the Pacific stunned or confused and slow to react (as from blows or drunkenness or exhaustion)
147,hip pain, either side of the body below the waist and above the thigh a symptom of some physical hurt or disorder
148,constint shoulder pain,  the part of the body between the neck and the upper arm a symptom of some physical hurt or disorder
149,hunger inducing, a physiological need for food; the consequence of food deprivation act of bringing about a desired result
150,bloating of stomach, become bloated or swollen or puff up  an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
151,tendonitis, inflammation of a tendon
152,severe muscle pain, intensely or extremely bad or unpleasant in degree or quality one of the contractile organs of the body a symptom of some physical hurt or disorder
153,i felt like i always had the flu," a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks) a fabric made of compressed matted animal fibers a similar kind a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks) at all times; all the time and on every occasion have or possess, either in a concrete or an abstract sense  an acute febrile highly contagious viral disease"
154,dehydration, dryness resulting from the removal of water
155,short term memory is terrible," the location on a baseball field where the shortstop is stationed a word or expression used for some particular thing something that is remembered have the quality of being; (copula, used with an adjective or a predicate noun) causing fear or dread or terror"
156,gass, the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
157,burning sensations in shoulders, the act of burning something an unelaborated elementary awareness of stimulation a unit of length equal to one twelfth of a foot the part of the body between the neck and the upper arm
158,toe cramping, one of the digits of the foot secure with a cramp
159,stomack pains,  an effortful attempt to attain a goal
160,diarhea, 
161,feel like shit all the time, an intuitive awareness;  a similar kind obscene terms for feces quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class  an instance or single occasion for some event
162,make me a bigger asshole, a recognizable kind a state in New England a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation large or big relative to something else insulting terms of address for people who are stupid or irritating or ridiculous
163,severe leg muscle pains, intensely or extremely bad or unpleasant in degree or quality a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle one of the contractile organs of the body an effortful attempt to attain a goal
164,weak legs, wanting in physical strength staying power
165,ache, a dull persistent (usually moderately intense) pain
166,irregular periods, a member of an irregular armed force that fights a stronger force by sabotage and harassment an amount of time
167,weakness in both legs, a flaw or weak point a unit of length equal to one twelfth of a foot (used with count nouns) two considered together; the two staying power
168,pain in every tendon in my body," a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot (used of count nouns) each and all of the members of a group considered singly and without exception a cord or band of inelastic tissue connecting a muscle with its bony attachment a unit of length equal to one twelfth of a foot  the entire structure of an organism (an animal, plant, or human being)"
169,killed my libido," cause to die; put to death, usually intentionally or knowingly  (psychoanalysis) a Freudian term for sexual urge or desire"
170,rocking, move back and forth or sideways
171,severe shoulder pain, intensely or extremely bad or unpleasant in degree or quality the part of the body between the neck and the upper arm a symptom of some physical hurt or disorder
172,knee pain, hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella a symptom of some physical hurt or disorder
173,slightly dizzy virtually all the time, to a small degree or extent make dizzy or giddy in essence or effect but not in fact quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class  an instance or single occasion for some event
174,pain in knuckles, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot a small metal weapon; worn over the knuckles on the back of the hand
175,loss of support in calf musells, something that is lost  the activity of providing for or maintaining by supplying with money or necessities a unit of length equal to one twelfth of a foot young of domestic cattle 
176,words would not form, the words that are spoken  negation of a word or group of words the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
177,water retention, binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent the act of retaining something
178,little vaginal bleeding in spite of being menopausal for 10 years, a small amount or duration of or relating to the vagina the flow of blood from a ruptured blood vessel a unit of length equal to one twelfth of a foot feeling a need to see others suffer  the state or fact of existing of or relating to the menopause  the cardinal number that is the sum of nine and one; the base of the decimal system a late time of life
179,vomited, eject the contents of the stomach through the mouth
180,leg muscle soreness, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle one of the contractile organs of the body a pain that is felt (as when the area is touched)
181,spikes of pain so severe, a transient variation in voltage or current  a symptom of some physical hurt or disorder the syllable naming the fifth (dominant) note of any musical scale in solmization intensely or extremely bad or unpleasant in degree or quality
182,increased belching, become bigger or greater in amount the forceful expulsion of something from inside
183,muscle pain in the leg, one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
184,hert from head to my toe,   the upper part of the human body or the front part of the body in animals; contains the face and brains   one of the digits of the foot
185,coming down with the flu, the act of drawing spatially closer to something soft fine feathers   an acute febrile highly contagious viral disease
186,pain in back, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the posterior part of a human (or animal) body from the neck to the end of the spine
187,memory (sht term)loss, something that is remembered  
188,headache, something or someone that causes anxiety; a source of unhappiness
189,aching in legs, a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot staying power
190,loss of balance, something that is lost  a state of equilibrium
191,stiffness, the physical property of being inflexible and hard to bend
192,movement is restricted and it is impossible to make a fist," a change of position that does not entail a change of location have the quality of being; (copula, used with an adjective or a predicate noun) place restrictions on  the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information have the quality of being; (copula, used with an adjective or a predicate noun) something that cannot be done  a recognizable kind a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation a hand with the fingers clenched in the palm (as for hitting)"
193,severe muscle pain in neck, intensely or extremely bad or unpleasant in degree or quality one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the part of an organism (human or animal) that connects the head to the rest of the body
194,severe cramping, intensely or extremely bad or unpleasant in degree or quality secure with a cramp
195,toxic reactions, of or relating to or caused by a toxin or poison (chemistry) a process in which one or more substances are changed into others
196,muscle strain, one of the contractile organs of the body (physics) deformation of a physical body under the action of applied forces
197,deeper muscle twitches on arms sides, relatively deep or strong; affecting one deeply one of the contractile organs of the body a sudden muscle spasm; especially one caused by a nervous condition in operation or operational weapons considered collectively a place within a region identified relative to a center or reference location
198,crazy shit in my dreams, someone deranged and possibly dangerous obscene terms for feces a unit of length equal to one twelfth of a foot  a series of mental images and emotions occurring during sleep
199,pain unbearable, a symptom of some physical hurt or disorder incapable of being put up with
200,drowsiness, a very sleepy state
201,drowsy, half asleep
202,severe abdominal pain, intensely or extremely bad or unpleasant in degree or quality the muscles of the abdomen a symptom of some physical hurt or disorder
203,aching in toes, a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot one of the digits of the foot
204,tiredness, temporary loss of strength and energy resulting from hard physical or mental work
205,muscle damage, one of the contractile organs of the body the occurrence of a change for the worse
206,severe depression, intensely or extremely bad or unpleasant in degree or quality a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
207,tolerance, the power or capacity of an organism to tolerate unfavorable environmental conditions
208,severe foot pain, intensely or extremely bad or unpleasant in degree or quality the part of the leg of a human being below the ankle joint a symptom of some physical hurt or disorder
209,un-balanced-type feeling,  the experiencing of affective and emotional states
210,lack of motivation, the state of needing something that is absent or unavailable  the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
211,tinnitus, a ringing or booming sensation in one or both ears; a symptom of an ear infection or Meniere's disease
212,hypertension, a common disorder in which blood pressure remains abnormally high (a reading of 140/90 mm Hg or greater)
213,itchy, nervous and unable to relax
214,problems with concentration, a state of difficulty that needs to be resolved  the strength of a solution; number of molecules of a substance in a given volume
215,weight increased, the vertical force exerted by a mass as a result of gravity become bigger or greater in amount
216,all nighter, quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class 
217,insomnia, an inability to sleep; chronic sleeplessness
218,flu like symptoms, an acute febrile highly contagious viral disease a similar kind (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
219,extreme muscle weakness, the furthest or highest degree of something one of the contractile organs of the body a flaw or weak point
220,upset stomach, an unhappy and worried mental state an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
221,constipation, irregular and infrequent or difficult evacuation of the bowels; can be a symptom of intestinal obstruction or diverticulitis
222,pain in forearms, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the part of the superior limb between the elbow and the wrist
223,mind was starting to deteriorate, that which is responsible for one's thoughts and feelings; the seat of the faculty of reason a state in northwestern United States on the Pacific a turn to be a starter (in a game at the beginning)  become worse or disintegrate
224,ocd, 
225,numbness in right toe," partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" one of the digits of the foot"
226,mood swings, a characteristic (habitual or relatively temporary) state of feeling a state of steady vigorous action that is characteristic of an activity
227,intense depression, possessing or displaying a distinctive feature to a heightened degree a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
228,comfortably couldn't walk, in mental comfort; without stress  the act of traveling by foot
229,muscle cramps, one of the contractile organs of the body a painful and involuntary muscular contraction
230,never have another orgasm, not ever; at no time in the past or future a person who possesses great material wealth any of various alternatives; some other the moment of most intense pleasure in sexual intercourse
231,pancreatitis, inflammation of the pancreas; usually marked by abdominal pain
232,urge to vomit, an instinctive motive  the matter ejected in vomiting
233,think too much, an instance of deliberate thinking to a degree exceeding normal or proper limits a great amount or extent
234,"terrible, migratory joint pain all over my body","  used of animals that move seasonally (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a symptom of some physical hurt or disorder quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch  the entire structure of an organism (an animal, plant, or human being)"
235,destroyed my self-confidence," do away with, cause the destruction or undoing of  freedom from doubt; belief in yourself and your abilities"
236,very sensative to the cold, precisely as stated    a mild viral infection involving the nose and respiratory passages (but not the lungs)
237,mood change, a characteristic (habitual or relatively temporary) state of feeling an event that occurs when something passes from one state or phase to another
238,put weight on suddenly for no reason, the option to sell a given stock (or stock index or commodity future) at a given price before a given date the vertical force exerted by a mass as a result of gravity in operation or operational happening unexpectedly  a negative a rational motive for a belief or action
239,increase in sleep requirement, a quantity that is added a unit of length equal to one twelfth of a foot a natural and periodic state of rest during which consciousness of the world is suspended required activity
240,disturbed sleep patterns, move deeply a natural and periodic state of rest during which consciousness of the world is suspended a perceptual structure
241,coming off, the act of drawing spatially closer to something kill intentionally and with premeditation
242,loose stools, grant freedom to; free from confinement a simple seat without a back or arms
243,depressed, lower someone's spirits; make downhearted
244,lower back pain, the lower of two berths the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder
